I,Availability (MW),Market Price ($/MWh)
D,-10,39.796851193499236
D,-7.5,39.796851193499236
D,-5,39.796851193499236
D,-2.5,39.796851193499236
D,0,39.796851193499236
D,2.5,39.796851193499236
D,5,39.796851193499236
D,7.5,39.796851193499236
D,10,39.796851193499236
I,Availability (MW),Market Price ($/MWh)
D,-10.0,39.796851193499236
D,-7.5,39.796851193499236
D,-5.0,39.796851193499236
D,-2.5,39.796851193499236
D,0.0,39.796851193499236
D,2.5,39.796851193499236
D,5.0,39.796851193499236
D,7.5,39.796851193499236
D,10.0,39.796851193499236
